,importance
Cbal,0.17328766176071175
monthly_burden,0.10044942221602224
Camt,0.08522527598744999
Cdur,0.08371261615520814
amt_per_dependent,0.08038892477855605
Sbal,0.07152093942165494
age,0.06420881444699482
Chist,0.044826205637293184
Cpur,0.04200792735830262
Prop,0.028931680457518604
Edur,0.028731841024425508
InRate,0.027677508543176035
Rdur,0.024622330549931248
inPlans,0.021408675189208616
MSG,0.019223589765620924
age_group,0.01919557923467907
Htype,0.016992877911174903
JobType,0.014533592925577944
NumCred,0.012053210716258287
telephone,0.011657994491283828
Oparties,0.010963005234147963
Ndepend,0.008025933369899511
high_risk_combo,0.007520161588630169
foreign,0.002834231236273728
